File Path,Classification,Truth Level,Size Bytes
".ai-brain/13-config.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",13994
".ai-brain/13-legal-trust-sales-readiness.md","FINANCIAL_GOVERNANCE","SECONDARY_SUPPORTING_DOC",4918
".ai-brain/14-modules-map.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",19267
".ai-brain/14-world-class-release-gate.md","WORLD_CLASS_GATE","SECONDARY_SUPPORTING_DOC",7819
".ai-brain/15-approval-gates.md","CORE_GOVERNANCE","PRIMARY_SOURCE_OF_TRUTH",10303
".ai-brain/15-saudi-compliance.md","SAUDI_COMPLIANCE","SECONDARY_SUPPORTING_DOC",30218
".ai-brain/16-risk-register.md","RISK_REGISTER","SECONDARY_SUPPORTING_DOC",13526
".ai-brain/16-troubleshooting.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",8778
".ai-brain/17-gap-analysis.md","GAP_REGISTER","SECONDARY_SUPPORTING_DOC",10634
".ai-brain/17-gap-register.md","GAP_REGISTER","SECONDARY_SUPPORTING_DOC",5699
".ai-brain/18-decision-log.md","CORE_GOVERNANCE","PRIMARY_SOURCE_OF_TRUTH",6863
".ai-brain/18-environment.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",15037
".ai-brain/19-claude-rules.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",8733
".ai-brain/19-evidence-index.md","EVIDENCE_INDEX","PRIMARY_SOURCE_OF_TRUTH",6059
".ai-brain/20-accounting-domain.md","FINANCIAL_GOVERNANCE","SECONDARY_SUPPORTING_DOC",15147
".ai-brain/20-next-actions.md","CORE_GOVERNANCE","SECONDARY_SUPPORTING_DOC",7198
".ai-brain/21-sales-pos.md","FINANCIAL_GOVERNANCE","SECONDARY_SUPPORTING_DOC",12239
".ai-brain/22-purchases.md","FINANCIAL_GOVERNANCE","SECONDARY_SUPPORTING_DOC",12266
".ai-brain/23-inventory.md","FINANCIAL_GOVERNANCE","SECONDARY_SUPPORTING_DOC",13061
".ai-brain/24-manufacturing.md","FINANCIAL_GOVERNANCE","SECONDARY_SUPPORTING_DOC",11266
".ai-brain/25-hr-payroll.md","FINANCIAL_GOVERNANCE","SECONDARY_SUPPORTING_DOC",14065
".ai-brain/26-assets.md","FINANCIAL_GOVERNANCE","SECONDARY_SUPPORTING_DOC",11759
".ai-brain/27-treasury-banks.md","FINANCIAL_GOVERNANCE","SECONDARY_SUPPORTING_DOC",12877
".ai-brain/28-ai-features.md","DOMAIN_MEMORY","SECONDARY_SUPPORTING_DOC",18301
".ai-brain/29-electron-desktop.md","DOMAIN_MEMORY","SECONDARY_SUPPORTING_DOC",13312
".ai-brain/30-master-ice.md","DOMAIN_MEMORY","SECONDARY_SUPPORTING_DOC",11541
".ai-brain/31-cron-jobs.md","DOMAIN_MEMORY","SECONDARY_SUPPORTING_DOC",13048
".ai-brain/32-webhooks-events.md","DOMAIN_MEMORY","SECONDARY_SUPPORTING_DOC",11193
".ai-brain/33-relations-diagram.md","DOMAIN_MEMORY","SECONDARY_SUPPORTING_DOC",16824
".ai-brain/34-lib-engines-catalog.md","DOMAIN_MEMORY","SECONDARY_SUPPORTING_DOC",23453
".ai-brain/35-saudi-integrations.md","SAUDI_COMPLIANCE","SECONDARY_SUPPORTING_DOC",12442
".ai-brain/36-ai-architecture.md","ARCHITECTURE_DOC","SECONDARY_SUPPORTING_DOC",14689
".ai-brain/37-scripts-inventory.md","FINANCIAL_GOVERNANCE","SECONDARY_SUPPORTING_DOC",8670
".ai-brain/38-electron-internals.md","DOMAIN_MEMORY","SECONDARY_SUPPORTING_DOC",18113
".ai-brain/39-vertical-solutions.md","DOMAIN_MEMORY","SECONDARY_SUPPORTING_DOC",25376
".ai-brain/40-tests-quality.md","QUALITY_TESTING","SECONDARY_SUPPORTING_DOC",11359
".ai-brain/41-public-marketing.md","PRODUCT_UX_DOCS","SECONDARY_SUPPORTING_DOC",10795
".ai-brain/42-ui-components.md","PRODUCT_UX_DOCS","SECONDARY_SUPPORTING_DOC",15447
".ai-brain/43-prisma-seeds-migrations.md","ARCHITECTURE_DOC","SECONDARY_SUPPORTING_DOC",14141
".ai-brain/44-pwa-realtime.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",12855
".ai-brain/45-error-monitoring.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",14102
".ai-brain/46-state-machines.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",14762
".ai-brain/47-glossary.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",16417
".ai-brain/48-app-routes-map.md","DOMAIN_MEMORY","SECONDARY_SUPPORTING_DOC",12225
".ai-brain/49-scenarios-real-world.md","CUSTOMER_PILOT","SECONDARY_SUPPORTING_DOC",42107
".ai-brain/50-how-to-guides.md","CUSTOMER_PILOT","SECONDARY_SUPPORTING_DOC",13880
".ai-brain/51-role-day-in-life.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",15317
".ai-brain/52-decision-tables.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",12353
".ai-brain/53-period-end-procedures.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",14284
".ai-brain/54-common-mistakes.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",18269
".ai-brain/55-disaster-recovery.md","DEVOPS_DR","SECONDARY_SUPPORTING_DOC",11006
".ai-brain/56-security-incidents.md","SECURITY_COMPLIANCE","SECONDARY_SUPPORTING_DOC",10864
".ai-brain/57-data-migration.md","OPERATIONAL_RUNBOOK","SECONDARY_SUPPORTING_DOC",13311
".ai-brain/58-performance-tuning.md","PERFORMANCE_SCALABILITY","SECONDARY_SUPPORTING_DOC",13308
".ai-brain/59-api-sdk-integration.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",8623
".ai-brain/60-templates-formats.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",17168
".ai-brain/61-support-runbooks.md","OPERATIONAL_RUNBOOK","SECONDARY_SUPPORTING_DOC",12926
".ai-brain/62-future-roadmap.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",11728
".ai-brain/63-brain-maintenance.md","CORE_GOVERNANCE","SECONDARY_SUPPORTING_DOC",10518
".ai-brain/64-tenant-isolation-hardening.md","API_TENANT_ISOLATION","SECONDARY_SUPPORTING_DOC",2728
